DATA,DERIVATIVO,PARTICIPANTE,LONGCONTRACTS,LONG_,SHORTCONTRACTS,SHORT_,SALDO
26/01/2010,US DOLLAR FUTURES,Individuals,320.0,0.04,850.0,0.11,-530.0
26/01/2010,US DOLLAR FUTURES,Total,783997.0,100.0,783997.0,100.0,0.0
27/01/2010,US DOLLAR FUTURES,Financial Institutions,281335.0,34.2,367205.0,44.64,-85870.0
27/01/2010,US DOLLAR FUTURES,Banks,224425.0,27.28,366768.0,44.59,-142343.0
27/01/2010,US DOLLAR FUTURES,Brokers & Dealers,300.0,0.04,347.0,0.04,-47.0
27/01/2010,US DOLLAR FUTURES,Other,56610.0,6.88,90.0,0.01,56520.0
27/01/2010,US DOLLAR FUTURES,Institutional Investors,146696.0,17.83,215511.0,26.2,-68815.0
27/01/2010,US DOLLAR FUTURES,Domestic,146696.0,17.83,215511.0,26.2,-68815.0
27/01/2010,US DOLLAR FUTURES,Nonresident Investors,306337.0,37.24,213882.0,26.0,92455.0
27/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,306337.0,37.24,213882.0,26.0,92455.0
27/01/2010,US DOLLAR FUTURES,Corporations,87845.0,10.68,24990.0,3.04,62855.0
27/01/2010,US DOLLAR FUTURES,Individuals,340.0,0.04,965.0,0.12,-625.0
27/01/2010,US DOLLAR FUTURES,Total,822553.0,100.0,822553.0,100.0,0.0
28/01/2010,US DOLLAR FUTURES,Financial Institutions,318473.0,36.62,430073.0,49.45,-111600.0
28/01/2010,US DOLLAR FUTURES,Banks,260468.0,29.95,429646.0,49.4,-169178.0
28/01/2010,US DOLLAR FUTURES,Brokers & Dealers,315.0,0.04,342.0,0.04,-27.0
28/01/2010,US DOLLAR FUTURES,Other,57690.0,6.63,85.0,0.01,57605.0
28/01/2010,US DOLLAR FUTURES,Institutional Investors,150951.0,17.36,215378.0,24.76,-64427.0
28/01/2010,US DOLLAR FUTURES,Domestic,150951.0,17.36,215378.0,24.76,-64427.0
28/01/2010,US DOLLAR FUTURES,Nonresident Investors,309015.0,35.53,199474.0,22.94,109541.0
28/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,309015.0,35.53,199474.0,22.94,109541.0
28/01/2010,US DOLLAR FUTURES,Corporations,90876.0,10.45,23300.0,2.68,67576.0
28/01/2010,US DOLLAR FUTURES,Individuals,385.0,0.04,1475.0,0.17,-1090.0
28/01/2010,US DOLLAR FUTURES,Total,869700.0,100.0,869700.0,100.0,0.0
29/01/2010,US DOLLAR FUTURES,Financial Institutions,315233.0,35.9,434063.0,49.44,-118830.0
29/01/2010,US DOLLAR FUTURES,Banks,255973.0,29.15,433606.0,49.38,-177633.0
29/01/2010,US DOLLAR FUTURES,Brokers & Dealers,330.0,0.04,372.0,0.04,-42.0
29/01/2010,US DOLLAR FUTURES,Other,58930.0,6.71,85.0,0.01,58845.0
29/01/2010,US DOLLAR FUTURES,Institutional Investors,152111.0,17.32,209977.0,23.91,-57866.0
29/01/2010,US DOLLAR FUTURES,Domestic,152111.0,17.32,209977.0,23.91,-57866.0
29/01/2010,US DOLLAR FUTURES,Nonresident Investors,316343.0,36.03,208258.0,23.72,108085.0
29/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,316343.0,36.03,208258.0,23.72,108085.0
29/01/2010,US DOLLAR FUTURES,Corporations,94081.0,10.71,23590.0,2.69,70491.0
29/01/2010,US DOLLAR FUTURES,Individuals,265.0,0.03,2145.0,0.24,-1880.0
29/01/2010,US DOLLAR FUTURES,Total,878033.0,100.0,878033.0,100.0,0.0
01/02/2010,US DOLLAR FUTURES,Financial Institutions,245682.0,37.31,327145.0,49.68,-81463.0
01/02/2010,US DOLLAR FUTURES,Banks,186430.0,28.31,326705.0,49.62,-140275.0
01/02/2010,US DOLLAR FUTURES,Brokers & Dealers,322.0,0.05,355.0,0.05,-33.0
01/02/2010,US DOLLAR FUTURES,Other,58930.0,8.95,85.0,0.01,58845.0
01/02/2010,US DOLLAR FUTURES,Institutional Investors,108645.0,16.5,133028.0,20.2,-24383.0
01/02/2010,US DOLLAR FUTURES,Domestic,108645.0,16.5,133028.0,20.2,-24383.0
01/02/2010,US DOLLAR FUTURES,Nonresident Investors,210526.0,31.97,176190.0,26.76,34336.0
01/02/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,210526.0,31.97,176190.0,26.76,34336.0
01/02/2010,US DOLLAR FUTURES,Corporations,93225.0,14.16,21125.0,3.21,72100.0
01/02/2010,US DOLLAR FUTURES,Individuals,365.0,0.06,955.0,0.15,-590.0
01/02/2010,US DOLLAR FUTURES,Total,658443.0,100.0,658443.0,100.0,0.0
02/02/2010,US DOLLAR FUTURES,Financial Institutions,235507.0,35.69,326400.0,49.47,-90893.0
02/02/2010,US DOLLAR FUTURES,Banks,176270.0,26.71,325950.0,49.4,-149680.0
02/02/2010,US DOLLAR FUTURES,Brokers & Dealers,307.0,0.05,365.0,0.06,-58.0
02/02/2010,US DOLLAR FUTURES,Other,58930.0,8.93,85.0,0.01,58845.0
02/02/2010,US DOLLAR FUTURES,Institutional Investors,112013.0,16.98,136184.0,20.64,-24171.0
02/02/2010,US DOLLAR FUTURES,Domestic,112013.0,16.98,136184.0,20.64,-24171.0
02/02/2010,US DOLLAR FUTURES,Nonresident Investors,218763.0,33.15,176479.0,26.75,42284.0
02/02/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,218763.0,33.15,176479.0,26.75,42284.0
02/02/2010,US DOLLAR FUTURES,Corporations,92900.0,14.08,19910.0,3.02,72990.0
02/02/2010,US DOLLAR FUTURES,Individuals,650.0,0.1,860.0,0.13,-210.0
02/02/2010,US DOLLAR FUTURES,Total,659833.0,100.0,659833.0,100.0,0.0
03/02/2010,US DOLLAR FUTURES,Financial Institutions,249484.0,35.42,349500.0,49.61,-100016.0
03/02/2010,US DOLLAR FUTURES,Banks,189237.0,26.86,348050.0,49.41,-158813.0
03/02/2010,US DOLLAR FUTURES,Brokers & Dealers,317.0,0.05,365.0,0.05,-48.0
03/02/2010,US DOLLAR FUTURES,Other,59930.0,8.51,1085.0,0.15,58845.0
03/02/2010,US DOLLAR FUTURES,Institutional Investors,114578.0,16.27,143257.0,20.34,-28679.0
03/02/2010,US DOLLAR FUTURES,Domestic,114578.0,16.27,143257.0,20.34,-28679.0
03/02/2010,US DOLLAR FUTURES,Nonresident Investors,247454.0,35.13,190244.0,27.01,57210.0
03/02/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,247454.0,35.13,190244.0,27.01,57210.0
03/02/2010,US DOLLAR FUTURES,Corporations,92410.0,13.12,20295.0,2.88,72115.0
03/02/2010,US DOLLAR FUTURES,Individuals,500.0,0.07,1130.0,0.16,-630.0
03/02/2010,US DOLLAR FUTURES,Total,704426.0,100.0,704426.0,100.0,0.0
04/02/2010,US DOLLAR FUTURES,Financial Institutions,241839.0,35.59,351040.0,51.66,-109201.0
04/02/2010,US DOLLAR FUTURES,Banks,182622.0,26.88,350610.0,51.6,-167988.0
04/02/2010,US DOLLAR FUTURES,Brokers & Dealers,287.0,0.04,345.0,0.05,-58.0
04/02/2010,US DOLLAR FUTURES,Other,58930.0,8.67,85.0,0.01,58845.0
04/02/2010,US DOLLAR FUTURES,Institutional Investors,110563.0,16.27,135268.0,19.91,-24705.0
04/02/2010,US DOLLAR FUTURES,Domestic,110563.0,16.27,135268.0,19.91,-24705.0
04/02/2010,US DOLLAR FUTURES,Nonresident Investors,244700.0,36.01,171199.0,25.19,73501.0
04/02/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,244700.0,36.01,171199.0,25.19,73501.0
04/02/2010,US DOLLAR FUTURES,Corporations,81685.0,12.02,21125.0,3.11,60560.0
04/02/2010,US DOLLAR FUTURES,Individuals,720.0,0.11,875.0,0.13,-155.0
04/02/2010,US DOLLAR FUTURES,Total,679507.0,100.0,679507.0,100.0,0.0
05/02/2010,US DOLLAR FUTURES,Financial Institutions,223219.0,33.48,351995.0,52.79,-128776.0
05/02/2010,US DOLLAR FUTURES,Banks,164012.0,24.6,351480.0,52.72,-187468.0
05/02/2010,US DOLLAR FUTURES,Brokers & Dealers,277.0,0.04,390.0,0.06,-113.0
05/02/2010,US DOLLAR FUTURES,Other,58930.0,8.84,125.0,0.02,58805.0
05/02/2010,US DOLLAR FUTURES,Institutional Investors,115801.0,17.37,128395.0,19.26,-12594.0
05/02/2010,US DOLLAR FUTURES,Domestic,115801.0,17.37,128395.0,19.26,-12594.0
05/02/2010,US DOLLAR FUTURES,Nonresident Investors,254734.0,38.21,163894.0,24.58,90840.0
05/02/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,254734.0,38.21,163894.0,24.58,90840.0
05/02/2010,US DOLLAR FUTURES,Corporations,72310.0,10.85,21590.0,3.24,50720.0
05/02/2010,US DOLLAR FUTURES,Individuals,675.0,0.1,865.0,0.13,-190.0
05/02/2010,US DOLLAR FUTURES,Total,666739.0,100.0,666739.0,100.0,0.0
08/02/2010,US DOLLAR FUTURES,Financial Institutions,228557.0,34.29,361273.0,54.2,-132716.0
08/02/2010,US DOLLAR FUTURES,Banks,169365.0,25.41,360793.0,54.13,-191428.0
08/02/2010,US DOLLAR FUTURES,Brokers & Dealers,262.0,0.04,390.0,0.06,-128.0
08/02/2010,US DOLLAR FUTURES,Other,58930.0,8.84,90.0,0.01,58840.0
08/02/2010,US DOLLAR FUTURES,Institutional Investors,114357.0,17.16,127145.0,19.08,-12788.0
08/02/2010,US DOLLAR FUTURES,Domestic,114357.0,17.16,127145.0,19.08,-12788.0
08/02/2010,US DOLLAR FUTURES,Nonresident Investors,254060.0,38.12,155826.0,23.38,98234.0
08/02/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,254060.0,38.12,155826.0,23.38,98234.0
08/02/2010,US DOLLAR FUTURES,Corporations,68835.0,10.33,21485.0,3.22,47350.0
08/02/2010,US DOLLAR FUTURES,Individuals,715.0,0.11,795.0,0.12,-80.0
08/02/2010,US DOLLAR FUTURES,Total,666524.0,100.0,666524.0,100.0,0.0
09/02/2010,US DOLLAR FUTURES,Financial Institutions,246437.0,35.86,382106.0,55.6,-135669.0
09/02/2010,US DOLLAR FUTURES,Banks,187245.0,27.24,381606.0,55.52,-194361.0
